Office,Department,Sub Department,Employment Type,Job Type,Seniority,Education,Expected Salary,Current Salary,Hire Cost,Hire Time
Office 1,HR,Recruitment,Full-Time,Permanent,Junior,High School,50000,45000,1000,30 days
Office 1,HR,Compensation,Part-Time,Contract,Mid-Level,Bachelor's,51000,46000,1100,45 days
Office 1,HR,Payroll,Contract,Contract,Senior,Master's,52000,47000,1200,60 days
Office 1,HR,Training,Freelance,Permanent,Lead,Doctorate,53000,48000,1300,35 days
Office 1,Finance,Recruitment,Full-Time,Contract,Executive,Diploma,54000,49000,1400,40 days
Office 1,Finance,Compensation,Part-Time,Contract,Junior,High School,55000,50000,1500,30 days
Office 1,Finance,Payroll,Contract,Permanent,Mid-Level,Bachelor's,56000,51000,1600,45 days
Office 1,Finance,Training,Freelance,Contract,Senior,Master's,57000,52000,1700,60 days
Office 1,IT,Recruitment,Full-Time,Contract,Lead,Doctorate,58000,53000,1800,35 days
Office 1,IT,Compensation,Part-Time,Permanent,Executive,Diploma,59000,54000,1900,40 days
Office 1,IT,Payroll,Contract,Contract,Junior,High School,60000,55000,2000,30 days
Office 1,IT,Training,Freelance,Contract,Mid-Level,Bachelor's,61000,56000,2100,45 days
Office 1,Marketing,Recruitment,Full-Time,Permanent,Senior,Master's,62000,57000,2200,60 days
Office 1,Marketing,Compensation,Part-Time,Contract,Lead,Doctorate,63000,58000,2300,35 days
Office 1,Marketing,Payroll,Contract,Contract,Executive,Diploma,64000,59000,2400,40 days
Office 1,Marketing,Training,Freelance,Permanent,Junior,High School,65000,60000,2500,30 days
Office 1,Sales,Recruitment,Full-Time,Contract,Mid-Level,Bachelor's,66000,61000,2600,45 days
Office 1,Sales,Compensation,Part-Time,Contract,Senior,Master's,67000,62000,2700,60 days
Office 1,Sales,Payroll,Contract,Permanent,Lead,Doctorate,68000,63000,2800,35 days
Office 1,Sales,Training,Freelance,Contract,Executive,Diploma,69000,64000,2900,40 days
Office 2,HR,Recruitment,Full-Time,Contract,Junior,High School,70000,65000,3000,30 days
Office 2,HR,Compensation,Part-Time,Permanent,Mid-Level,Bachelor's,71000,66000,3100,45 days
Office 2,HR,Payroll,Contract,Contract,Senior,Master's,72000,67000,3200,60 days
Office 2,HR,Training,Freelance,Contract,Lead,Doctorate,73000,68000,3300,35 days
Office 2,Finance,Recruitment,Full-Time,Permanent,Executive,Diploma,74000,69000,3400,40 days
Office 2,Finance,Compensation,Part-Time,Contract,Junior,High School,75000,70000,3500,30 days
